uid,features,layers,config/learning_rate,energy_error
0,9,6,0.07204881146120495,29.84508029985748
1,4,5,0.015685188619319463,9.764673101914571
2,2,2,0.06151550956428112,23.66902736011174
3,9,6,0.026651558169392454,3.531601151429612
4,4,3,0.09807697363350645,11.122574116630538
5,10,2,0.015305421394078127,13.452442154043553
6,3,5,0.0688902339579531,3.7791658862719855
7,5,6,0.012295662034699166,10.149885150405854
8,6,2,0.06712505039654408,5.335831755824579
9,3,3,0.07173509549685637,3.4285925217689623
10,6,4,0.02706870740308488,11.92418411443047
11,8,1,0.10411132915854256,16.498195842650823
12,3,5,0.04666579022454295,3.414860815951762
13,10,4,0.047357956895113885,27.42914579434558
14,8,4,0.010863696870066525,11.520207617887769
15,5,2,0.09938169513214304,15.61710525791156
16,8,6,0.07161407934835258,6.482750885053488
17,5,4,0.08126764228767694,29.795590873185297
18,3,3,0.10561457006182469,29.830263153531316
19,3,4,0.053118380202990624,9.26672065659551
20,7,5,0.0864017003790159,22.64189182661745
21,7,1,0.11852549099387602,17.489282486014147
22,7,1,0.11926277345989364,20.45728541822715
23,5,1,0.1057316034627319,17.318939636515744
24,10,2,0.03349043064474823,10.872310119007182
25,4,2,0.0931099589757688,26.772417955257136
26,4,5,0.019413094446326693,3.5279945668512624
27,4,3,0.007235719720265087,18.205568071122343
28,9,5,0.03715538398308854,4.116215152457563
29,8,4,0.005218001639257314,18.2766545237216
30,2,6,0.024520917765758612,3.442416792658406
31,5,6,0.037595860070547146,4.191242176308265
32,2,6,0.01724420035468866,10.195586146372584
33,2,3,0.058101220159467185,3.4326975312468733
34,6,3,0.07774327202793932,13.16579918528448
35,6,2,0.062265975367591875,18.64540604471242
36,7,2,0.06821838794258603,10.499157818698531
37,6,3,0.07773974643956182,20.869496685118747
38,4,2,0.08946033545957348,20.786757499125137
39,9,1,0.05427784498635072,16.047779115257654
40,5,3,0.06696270122911874,15.779944572980156
41,3,5,0.046219334167975475,25.01690176400568
42,3,5,0.04782035708125389,3.556189453984537
43,2,4,0.044923830628419856,3.4602601047708745
44,3,5,0.04084047631590289,3.5632915810613213
45,3,4,0.02862525159617127,3.432282591759762
46,4,3,0.05629581797779937,9.531987892709664
47,2,4,0.07706677620376551,29.633333491529285
48,4,6,0.08408299287356233,16.448187967629302
49,3,5,0.06355457162396703,21.502060466976623
50,2,4,0.11110622023398992,27.408438336195665
51,5,3,0.07150812000981775,27.356709102650253
52,3,6,0.0937420360962925,29.043739457240108
53,2,4,0.05100880238117558,3.4339013116607973
54,5,3,0.06010061172436465,8.060710024500523
55,4,4,0.09716054611231165,26.8050788419799
56,3,5,0.03394168303915723,13.728016878596982
57,7,2,0.02268030504906778,11.620652196099162
58,4,1,0.11319706906408086,17.64586450567663
59,6,5,0.04310379180937157,4.020427549113656
60,2,3,0.010589682871645863,15.135422262743582
61,5,2,0.07494854494962283,13.67000378954476
62,3,6,0.050864053651238125,3.4989526289316366
63,5,4,0.030641983500450977,8.222150441024738
64,10,5,0.1015931889954651,25.8447713144266
65,2,3,0.05647408007741661,4.004384121118534
66,3,4,0.027334463077418582,3.520322604409742
67,4,4,0.03905208522554171,10.035393641273116
68,3,5,0.034774279602297044,3.4932186980274693
69,4,4,0.013053294369053479,11.270644885644536
70,2,5,0.03058496913742803,9.746369699864244
71,3,4,0.02022916823949176,9.404608063545869
72,4,6,0.06552223674206012,8.828446870890062
73,2,5,0.07077550560153459,8.068911709633579
74,3,3,0.04856422254334583,23.611754394200744
75,4,3,0.0409003910009158,8.69377238659919
76,2,4,0.08614388665036984,12.527885032939146
77,3,6,0.02897227585137449,3.438672516844236
