uid,features,layers,config/learning_rate,energy_error
0,7,8,0.03197498459860408,3.4773657662971864
1,5,5,0.052879552683047594,17.20072071207018
2,7,7,0.0539920195805811,16.222582761850237
3,2,5,0.08568631026872393,9.488802089672191
4,6,4,0.04671490733058518,27.13650188642553
5,7,11,0.01461739627465173,9.538110957420944
6,4,9,0.09459360523956196,29.802952750446416
7,8,4,0.03392214487939588,6.576370986017153
8,3,7,0.04802423159641645,8.00491525272562
9,9,5,0.05156671459592811,22.954169529681323
10,9,4,0.08882684530249654,19.512046170059502
11,6,7,0.0534098140973233,3.5510868054676195
12,8,8,0.04094275465405711,12.507903607208103
13,3,11,0.03880005932853579,3.4266030059897297
14,7,9,0.014268330783099158,9.157167233245437
15,3,9,0.019726301609337672,8.549505841300213
16,4,11,0.08842492430237718,19.18431841809219
17,8,6,0.11766486044331399,29.66849387664786
18,5,9,0.09405408345165567,20.23758652853853
19,9,11,0.10792019340213124,29.7298842197365
20,2,6,0.07150468334010279,26.386146945180126
21,2,6,0.06964079927753482,9.023230928482306
22,3,10,0.02711885731545398,8.360788524138808
23,4,7,0.06418413581444334,3.4866233681405845
24,5,4,0.026173432139033448,8.433111020055652
25,8,5,0.07568785832096649,20.778818962743824
26,6,12,0.006244937497207167,16.42625637696582
27,3,6,0.03937068031333872,3.528439321599894
28,8,8,0.03231190505971381,7.337062217905647
29,4,7,0.006392480046766097,17.82010877392023
